X;CH1;CH2
Second;Volt;Volt
3,86E-03;3,60E+00;3,84E-01
3,88E-03;3,60E+00;3,76E-01
3,90E-03;3,52E+00;3,76E-01
3,92E-03;3,52E+00;3,60E-01
3,94E-03;3,52E+00;3,52E-01
3,96E-03;3,52E+00;3,36E-01
3,98E-03;3,52E+00;3,28E-01
4,00E-03;3,52E+00;3,20E-01
4,02E-03;3,44E+00;3,12E-01
4,04E-03;3,44E+00;2,96E-01
4,06E-03;3,44E+00;2,88E-01
4,08E-03;3,44E+00;2,80E-01
4,10E-03;3,44E+00;2,64E-01
4,12E-03;3,36E+00;2,56E-01
4,14E-03;3,36E+00;2,48E-01
4,16E-03;3,36E+00;2,40E-01
4,18E-03;3,36E+00;2,24E-01
4,20E-03;3,36E+00;2,16E-01
4,22E-03;3,36E+00;2,08E-01
4,24E-03;3,36E+00;1,92E-01
4,26E-03;3,28E+00;1,84E-01
4,28E-03;3,28E+00;1,76E-01
4,30E-03;3,28E+00;1,52E-01
4,32E-03;3,28E+00;1,44E-01
4,34E-03;3,28E+00;1,28E-01
4,36E-03;3,28E+00;1,20E-01
4,38E-03;3,20E+00;1,12E-01
4,40E-03;3,20E+00;9,60E-02
4,42E-03;3,20E+00;8,79E-02
4,44E-03;3,20E+00;7,99E-02
4,46E-03;3,20E+00;7,20E-02
4,48E-03;3,12E+00;5,60E-02
4,50E-03;3,12E+00;4,80E-02
4,52E-03;3,12E+00;4,00E-02
4,54E-03;3,20E+00;2,40E-02
4,56E-03;3,04E+00;1,60E-02
4,58E-03;3,04E+00;8,00E-03
4,60E-03;3,04E+00;-8,00E-03
4,62E-03;3,04E+00;-1,60E-02
4,64E-03;3,04E+00;-2,40E-02
4,66E-03;2,96E+00;-4,00E-02
4,68E-03;2,96E+00;-4,80E-02
4,70E-03;2,96E+00;-5,60E-02
4,72E-03;2,96E+00;-7,20E-02
4,74E-03;2,96E+00;-7,99E-02
4,76E-03;2,88E+00;-9,60E-02
4,78E-03;2,88E+00;-1,12E-01
4,80E-03;2,88E+00;-1,20E-01
4,82E-03;2,88E+00;-1,28E-01
4,84E-03;2,80E+00;-1,44E-01
4,86E-03;2,80E+00;-1,52E-01
4,88E-03;2,72E+00;-1,52E-01
4,90E-03;2,64E+00;-1,60E-01
4,92E-03;2,48E+00;-1,60E-01
4,94E-03;2,32E+00;-1,68E-01
4,96E-03;2,16E+00;-1,60E-01
4,98E-03;2,00E+00;-1,68E-01
5,00E-03;1,76E+00;-1,68E-01
5,02E-03;1,60E+00;-1,60E-01
5,04E-03;1,36E+00;-1,60E-01
5,06E-03;1,28E+00;-1,60E-01
5,08E-03;1,04E+00;-1,68E-01
5,10E-03;9,60E-01;-1,68E-01
5,12E-03;7,20E-01;-1,68E-01
5,14E-03;5,60E-01;-1,68E-01
5,16E-03;3,20E-01;-1,60E-01
5,18E-03;1,60E-01;-1,60E-01
5,20E-03;0,00E+00;-1,60E-01
5,22E-03;-1,60E-01;-1,60E-01
5,24E-03;-2,40E-01;-1,60E-01
5,26E-03;-4,00E-01;-1,60E-01
5,28E-03;-5,60E-01;-1,60E-01
5,30E-03;-8,00E-01;-1,68E-01
5,32E-03;-1,04E+00;-1,60E-01
5,34E-03;-1,20E+00;-1,68E-01
5,36E-03;-1,36E+00;-1,60E-01
5,38E-03;-1,52E+00;-1,60E-01
5,40E-03;-1,68E+00;-1,60E-01
5,42E-03;-1,92E+00;-1,68E-01
5,44E-03;-2,08E+00;-1,60E-01
5,46E-03;-2,24E+00;-1,68E-01
5,48E-03;-2,40E+00;-1,60E-01
5,50E-03;-2,64E+00;-1,60E-01
5,52E-03;-2,80E+00;-1,68E-01
5,54E-03;-2,88E+00;-1,60E-01
5,56E-03;-3,04E+00;-1,60E-01
5,58E-03;-3,28E+00;-1,68E-01
5,60E-03;-3,44E+00;-1,60E-01
5,62E-03;-3,60E+00;-1,60E-01
5,64E-03;-3,84E+00;-1,60E-01
5,66E-03;-3,92E+00;-1,68E-01
5,68E-03;-4,16E+00;-1,60E-01
5,70E-03;-4,32E+00;-1,60E-01
5,72E-03;-4,48E+00;-1,68E-01
5,74E-03;-4,72E+00;-1,68E-01
5,76E-03;-4,88E+00;-1,60E-01
5,78E-03;-4,96E+00;-1,68E-01
5,80E-03;-5,20E+00;-1,68E-01
5,82E-03;-5,36E+00;-1,60E-01
5,84E-03;-5,52E+00;-1,68E-01
5,86E-03;-5,68E+00;-1,60E-01
5,88E-03;-5,84E+00;-1,68E-01
5,90E-03;-6,00E+00;-1,60E-01
5,92E-03;-6,16E+00;-1,60E-01
5,94E-03;-6,32E+00;-1,68E-01
5,96E-03;-6,56E+00;-1,60E-01
5,98E-03;-6,64E+00;-1,60E-01
